unix_timestamp,telecommand,norad_id,ground_station_lat,ground_station_lon,pass_event
1742926493,1: com_ping 10,62171,31.7619,-106.485,rise
1742926539,1: com_ping 10,62171,31.7619,-106.485,peak
1742926585,1: com_ping 10,62171,31.7619,-106.485,set
1742932013,1: com_ping 10,62171,31.7619,-106.485,rise
1742932120,1: com_ping 10,62171,31.7619,-106.485,peak
1742932227,1: com_ping 10,62171,31.7619,-106.485,set
1742966465,1: com_ping 10,62171,31.7619,-106.485,rise
1742966628,1: com_ping 10,62171,31.7619,-106.485,peak
1742966790,1: com_ping 10,62171,31.7619,-106.485,set
1743014030,1: com_ping 10,62171,31.7619,-106.485,rise
1743014188,1: com_ping 10,62171,31.7619,-106.485,peak
1743014347,1: com_ping 10,62171,31.7619,-106.485,set
1743048630,1: com_ping 10,62171,31.7619,-106.485,rise
1743048701,1: com_ping 10,62171,31.7619,-106.485,peak
1743048772,1: com_ping 10,62171,31.7619,-106.485,set
1743054194,1: com_ping 10,62171,31.7619,-106.485,rise
1743054290,1: com_ping 10,62171,31.7619,-106.485,peak
1743054387,1: com_ping 10,62171,31.7619,-106.485,set
1743101717,1: com_ping 10,62171,31.7619,-106.485,rise
1743101871,1: com_ping 10,62171,31.7619,-106.485,peak
1743102026,1: com_ping 10,62171,31.7619,-106.485,set
1743136242,1: com_ping 10,62171,31.7619,-106.485,rise
1743136403,1: com_ping 10,62171,31.7619,-106.485,peak
1743136563,1: com_ping 10,62171,31.7619,-106.485,set
1743183872,1: com_ping 10,62171,31.7619,-106.485,rise
1743183993,1: com_ping 10,62171,31.7619,-106.485,peak
1743184115,1: com_ping 10,62171,31.7619,-106.485,set
1743223967,1: com_ping 10,62171,31.7619,-106.485,rise
1743224118,1: com_ping 10,62171,31.7619,-106.485,peak
1743224269,1: com_ping 10,62171,31.7619,-106.485,set
1743271552,1: com_ping 10,62171,31.7619,-106.485,rise
1743271718,1: com_ping 10,62171,31.7619,-106.485,peak
1743271885,1: com_ping 10,62171,31.7619,-106.485,set
1743306134,1: com_ping 10,62171,31.7619,-106.485,rise
1743306267,1: com_ping 10,62171,31.7619,-106.485,peak
